member_full,last_name,first_name,party,state,vote_cast,lis_member_id,members_Id,vote_number
Rubio (R-FL),Rubio,Marco,R,FL,Not Voting,S350,0,277
Sanders (I-VT),Sanders,Bernie,I,VT,Nay,S313,0,277
Sasse (R-NE),Sasse,Ben,R,NE,Yea,S382,0,277
Schatz (D-HI),Schatz,Brian,D,HI,Nay,S353,0,277
Schumer (D-NY),Schumer,Charles,D,NY,Nay,S270,0,277
Scott (R-SC),Scott,Timothy,R,SC,Yea,S365,0,277
Sessions (R-AL),Sessions,Jefferson,R,AL,Yea,S261,0,277
Shaheen (D-NH),Shaheen,Jeanne,D,NH,Yea,S324,0,277
Shelby (R-AL),Shelby,Richard,R,AL,Yea,S184,0,277
Stabenow (D-MI),Stabenow,Debbie,D,MI,Yea,S284,0,277
Sullivan (R-AK),Sullivan,Dan,R,AK,Yea,S383,0,277
Tester (D-MT),Tester,Jon,D,MT,Yea,S314,0,277
Thune (R-SD),Thune,John,R,SD,Yea,S303,0,277
Tillis (R-NC),Tillis,Thomas,R,NC,Yea,S384,0,277
Toomey (R-PA),Toomey,Pat,R,PA,Yea,S351,0,277
Udall (D-NM),Udall,Tom,D,NM,Yea,S326,0,277
Vitter (R-LA),Vitter,David,R,LA,Yea,S299,0,277
Warner (D-VA),Warner,Mark,D,VA,Yea,S327,0,277
Warren (D-MA),Warren,Elizabeth,D,MA,Nay,S366,0,277
Whitehouse (D-RI),Whitehouse,Sheldon,D,RI,Nay,S316,0,277
Wicker (R-MS),Wicker,Roger,R,MS,Yea,S318,0,277
Wyden (D-OR),Wyden,Ron,D,OR,Nay,S247,0,277
Alexander (R-TN),Alexander,Lamar,R,TN,Yea,S289,0,278
Ayotte (R-NH),Ayotte,Kelly,R,NH,Yea,S340,0,278
Baldwin (D-WI),Baldwin,Tammy,D,WI,Nay,S354,0,278
Barrasso (R-WY),Barrasso,John,R,WY,Yea,S317,0,278
Bennet (D-CO),Bennet,Michael,D,CO,Nay,S330,0,278
Blumenthal (D-CT),Blumenthal,Richard,D,CT,Nay,S341,0,278
Blunt (R-MO),Blunt,Roy,R,MO,Yea,S342,0,278
Booker (D-NJ),Booker,Cory,D,NJ,Nay,S370,0,278
Boozman (R-AR),Boozman,John,R,AR,Yea,S343,0,278
Boxer (D-CA),Boxer,Barbara,D,CA,Nay,S223,0,278
Brown (D-OH),Brown,Sherrod,D,OH,Nay,S307,0,278
Burr (R-NC),Burr,Richard,R,NC,Yea,S300,0,278
Cantwell (D-WA),Cantwell,Maria,D,WA,Nay,S275,0,278
Capito (R-WV),Capito,Shelley,R,WV,Yea,S372,0,278
Cardin (D-MD),Cardin,Ben,D,MD,Nay,S308,0,278
Carper (D-DE),Carper,Thomas,D,DE,Nay,S277,0,278
Casey (D-PA),Casey,Bob,D,PA,Nay,S309,0,278
